WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
5.1,Review locations,T+15d ,T+16d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
5.2,See locations,T+17d ,T+18d ,16,2d,16,2d,0%,,,,,,,,,5.1,,0,,
5.3,"Examine 1 lines, and ops processes",T+17d ,T+18d ,16,2d,16,2d,0%,,,,,,,,,5.1,,0,,
5.4,Finalize locations,T+19d ,T+20d ,16,2d,16,2d,0%,,,,,,,,,5.3,,0,,
5.5,Receive/review quote,T+21d ,T+22d ,16,2d,16,2d,0%,,,,,,,,,5.4,,0,,
5.6,Review cage layout,T+21d ,T+22d ,16,2d,16,2d,0%,,,,,,,,,5.4,,0,,
5.7,Review contract paperwork,T+23d ,T+27d ,40,1w,40,1w,0%,,,,,,,,,"5.5, 5.6",,0,,
5.8,update budget,T+28d ,T+28d ,2,2h,2,2h,0%,,,,,,,,,5.7,,0,,
5.9,Sign MSA (Master Services Agreement),T+29d ,T+33d ,40,1w,40,1w,0%,,,,,,,,,"5.7, 5.8",,0,,
5.10,Sign Order (actual order),T+34d ,T+38d ,40,1w,40,1w,0%,,,,,,,,,5.9,,0,,
5.11,"Get a ""SPACE READY DATE""",T+38d ,T+38d ,,,,,0%,,,,,,,,,5.10,,,,
6,Select Network providers,T+21d ,T+40d ,160,1mo,120,3w,0%,,,,,,,,,,,,,
6.1,confirm providers are on-net,T+21d ,T+22d ,16,2d,16,2d,0%,,,,,,,,,5.4,,0,,
6.2,Receive/review quote,T+23d ,T+24d ,16,2d,16,2d,0%,,,,,,,,,6.1,,0,,
6.3,Review contract paperwork,T+25d ,T+29d ,40,1w,40,1w,0%,,,,,,,,,6.2,,0,,
6.4,update budget,T+30d ,T+31d ,16,2d,16,2d,0%,,,,,,,,,6.3,,0,,
6.5,Sign MSA (Master Services Agreement),T+32d ,T+33d ,16,2d,16,2d,0%,,,,,,,,,6.4,,0,,
6.6,Sign Order (actual order),T+39d ,T+40d ,16,2d,16,2d,0%,,,,,,,,,"5.10, 6.5",,0,,
6.7,get a Firm Order Commit (FOC) date.,T+40d ,T+40d ,,,,,0%,,,,,,,,,6.6,,,,
7,Peering fabric,T+21d ,T+31d ,88,2w 1d,88,2w 1d,0%,,,,,,,,,5.4,,,,
7.1,confirm fabrics that are available,T+21d ,T+21d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
7.2,Receive/review quote,T+22d ,T+25d ,32,4d,32,4d,0%,,,,,,,,,7.1,,0,,
7.3,Review contract paperwork,T+26d ,T+27d ,16,2d,16,2d,0%,,,,,,,,,7.2,,0,,
7.4,update budget,T+28d ,T+28d ,8,1d,8,1d,0%,,,,,,,,,7.3,,0,,
7.5,Sign MSA (Master Services Agreement),T+29d ,T+30d ,16,2d,16,2d,0%,,,,,,,,,7.4,,0,,
7.6,Sign Order (actual order),T+31d ,T+31d ,8,1d,8,1d,0%,,,,,,,,,7.5,,0,,
8,vendor set up - sundries,T+5d ,T+5d ,8,1d,72,1w 4d,0%,,,,,,,,,3,,,,
8.1,grainger,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
8.2,anixter,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
8.3,graybar,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
8.4,amazon,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
8.5,cdw,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
8.6,Quail,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
8.7,DatacenterGear,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
8.8,FiberStore,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
8.9,Flexoptix,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
9,vendor set up - network reseller,T+5d ,T+8d ,32,4d,32,4d,0%,,,,,,,,,3,,,,
9.1,"interview resellers,",T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
9.2,request quote,T+6d ,T+6d ,8,1d,8,1d,0%,,,,,,,,,9.1,,0,,
9.3,Review contract paperwork,T+7d ,T+7d ,8,1d,8,1d,0%,,,,,,,,,9.2,,0,,
9.4,Sign Order (actual order),T+8d ,T+8d ,8,1d,8,1d,0%,,,,,,,,,9.3,,0,,
10,vendor set up - Integrator,T+5d ,T+21d ,136,3w 2d,96,2w 2d,0%,,,,,,,,,3,,,,
10.1,interview integrators,T+5d ,T+6d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
10.2,visit location,T+7d ,T+7d ,8,1d,8,1d,0%,,,,,,,,,10.1,,0,,
10.3,Request quote,T+8d ,T+9d ,16,2d,16,2d,0%,,,,,,,,,10.2,,0,,
10.4,Review contract paperwork,T+10d ,T+11d ,16,2d,16,2d,0%,,,,,,,,,10.3,,0,,
10.5,revise bom,T+12d ,T+13d ,16,2d,16,2d,0%,,,,,,,,,10.4,,0,,
10.6,layout and cabling verification,T+14d ,T+15d ,16,2d,16,2d,0%,,,,,,,,,10.5,,0,,
10.7,Sign Order (actual order),T+21d ,T+21d ,8,1d,8,1d,0%,,,,,,,,,"5.4, 10.6",,0,,
11,Sundries:,T+5d ,T+39d ,280,1mo 3w,32,4d,0%,,,,,,,,,3,,,,
11.1,add parts to shopping lists,T+5d ,T+6d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
11.2,update budget,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
11.3,order parts.,T+39d ,T+39d ,8,1d,8,1d,0%,,,,,,,,,5.11,,0,,
12,LOCAL RIR (eg: ARIN),T+5d ,T+26d ,176,1mo 2d,176,1mo 2d,0%,,,,,,,,,3,,,,
12.1,Create POC Record,T+5d ,T+5d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
12.2,Create ORGid,T+6d ,T+8d ,24,3d,24,3d,0%,,,,,,,,,12.1,,0,,
12.3,ASN Request,T+9d ,T+11d ,24,3d,24,3d,0%,,,,,,,,,12.2,,0,,
12.4,IPv6 request,T+12d ,T+14d ,24,3d,24,3d,0%,,,,,,,,,12.3,,0,,
12.5,IPv4 transfer pre-approval,T+15d ,T+17d ,24,3d,24,3d,0%,,,,,,,,,12.4,,0,,
12.6,IPv4 waiting list,T+18d ,T+20d ,24,3d,24,3d,0%,,,,,,,,,12.5,,0,,
12.7,procure IPv4 space from broker market,T+21d ,T+23d ,24,3d,24,3d,0%,,,,,,,,,12.6,,0,,
12.8,Update Budget,T+24d ,T+24d ,8,1d,8,1d,0%,,,,,,,,,12.7,,0,,
12.9,Create Routing Objects.,T+25d ,T+25d ,8,1d,8,1d,0%,,,,,,,,,12.8,,0,,
12.10,Update network providers on IP/ASN info,T+26d ,T+26d ,8,1d,8,1d,0%,,,,,,,,,12.9,,0,,
13,IMPLEMENTATION PHASE,T+40d ,T+40d ,,,,,0%,,,,,,,,,"5, 6",,,,
14,Increase meeting cadence,T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
15,Integrator,T+22d ,T+43d ,176,1mo 2d,176,1mo 2d,0%,,,,,,,,,10,,,,
15.1,Rack build time (parts arrival),T+22d ,T+36d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
15.2,Confirm rack assembly.,T+37d ,T+37d ,8,1d,8,1d,0%,,,,,,,,,15.1,,0,,
15.3,provide pre-configuration (if needed),T+38d ,T+39d ,16,2d,16,2d,0%,,,,,,,,,15.2,,0,,
15.4,verify appropriate code revs.,T+40d ,T+40d ,8,1d,8,1d,0%,,,,,,,,,15.3,,0,,
15.5,verify appropriate cabling,T+41d ,T+41d ,8,1d,8,1d,0%,,,,,,,,,15.4,,0,,
15.6,Rack shipped to datacenter,T+42d ,T+43d ,16,2d,16,2d,0%,,,,,,,,,"5, 15.5",,0,,
16,Location,T+39d ,T+49d ,88,2w 1d,248,1mo 2w 1d,0%,,,,,,,,,5,,,,
16.1,Power circuits delivered,T+39d ,T+48d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
16.2,misc (eg: bolt down system) work,T+39d ,T+43d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
16.3,keycard/palm/fingerprint reader installed,T+39d ,T+48d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
16.4,Cage ready,T+48d ,T+48d ,,,,,0%,,,,,,,,,"16.1, 16.2, 16.3",,,,
16.5,Confirm ability to open tickets,T+49d ,T+49d ,8,1d,8,1d,0%,,,,,,,,,16.4,,0,,
16.6,confirm ability to visit,T+49d ,T+49d ,8,1d,8,1d,0%,,,,,,,,,16.4,,0,,
16.7,Open tickets for all incoming shipments,T+49d ,T+49d ,8,1d,8,1d,0%,,,,,,,,,16.4,,0,,
16.8,Open tickets for all needed crossconnects,T+49d ,T+49d ,8,1d,8,1d,0%,,,,,,,,,16.4,,0,,
16.9,Open tickets for boltdown,T+49d ,T+49d ,8,1d,8,1d,0%,,,,,,,,,16.4,,0,,
16.10,Open tickets to energize power,T+49d ,T+49d ,8,1d,8,1d,0%,,,,,,,,,16.4,,0,,
17,Racks-Ready,T+50d ,T+55d ,48,1w 1d,72,1w 4d,0%,,,,,,,,,,,,,
17.1,Racks received at datacenter,T+50d ,T+50d ,8,1d,8,1d,0%,,,,,,,,,16,,0,,
17.2,Racks placed in datacenter,T+51d ,T+51d ,8,1d,8,1d,0%,,,,,,,,,17.1,,0,,
17.3,racks bolted down,T+52d ,T+52d ,8,1d,8,1d,0%,,,,,,,,,17.2,,0,,
17.4,racks powered on.,T+53d ,T+53d ,8,1d,8,1d,0%,,,,,,,,,17.3,,0,,
17.5,Panels are set up to receive xconnects.,T+54d ,T+54d ,8,1d,8,1d,0%,,,,,,,,,17.4,,0,,
17.6,routers / switches BASE Config.,T+54d ,T+55d ,16,2d,16,2d,0%,,,,,,,,,17.4,,0,,
17.7,rack to spine interconnect cabling,T+54d ,T+55d ,16,2d,16,2d,0%,,,,,,,,,17.4,,0,,
18,Sundries work,T+50d ,T+52d ,24,3d,24,3d,0%,,,,,,,,,,,,,
18.1,Sundries arrive,T+50d ,T+51d ,16,2d,16,2d,0%,,,,,,,,,16,,0,,
18.2,Sundries unpacked/assembled,T+52d ,T+52d ,8,1d,8,1d,0%,,,,,,,,,18.1,,0,,
19,Network Provider bringup,T+56d ,T+58d ,24,3d,24,3d,0%,,,,,,,,,,,,,
19.1,Network provider xconnect finished,T+56d ,T+57d ,16,2d,16,2d,0%,,,,,,,,,17.6,,0,,
19.2,Network provider link working,T+58d ,T+58d ,8,1d,8,1d,0%,,,,,,,,,19.1,,0,,
20,Peering Fabric,T+56d ,T+58d ,24,3d,24,3d,0%,,,,,,,,,,,,,
20.1,Peering fabric xconnect finished,T+56d ,T+57d ,16,2d,16,2d,0%,,,,,,,,,17.6,,0,,
20.2,Peering Fabric link brought up,T+58d ,T+58d ,8,1d,8,1d,0%,,,,,,,,,20.1,,0,,
21,Networking,T+59d ,T+65d ,56,1w 2d,56,1w 2d,0%,,,,,,,,,,,,,
21.1,Routing ROAs created,T+59d ,T+59d ,8,1d,8,1d,0%,,,,,,,,,19,,0,,
21.2,Test all route objects.,T+60d ,T+60d ,8,1d,8,1d,0%,,,,,,,,,21.1,,0,,
21.3,Network Configuration Final,T+61d ,T+65d ,40,1w,40,1w,0%,,,,,,,,,21.2,,0,,
22,OOB verification,T+66d ,T+66d ,8,1d,8,1d,0%,,,,,,,,,21,,0,,
23,Documentation final updates,T+67d ,T+69d ,24,3d,24,3d,0%,,,,,,,,,"21, 22",,0,,
24,Server Imaging,T+66d ,T+72d ,56,1w 2d,56,1w 2d,0%,,,,,,,,,21,,,,
24.1,"Server services created (eg: Dns, dhcp)",T+66d ,T+66d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
24.2,Web/app/db configuration,T+67d ,T+69d ,24,3d,24,3d,0%,,,,,,,,,24.1,,0,,
24.3,Server end to end tests,T+70d ,T+71d ,16,2d,16,2d,0%,,,,,,,,,24.2,,0,,
24.4,Stress test,T+72d ,T+72d ,8,1d,8,1d,0%,,,,,,,,,24.3,,0,,
25,Monitoring:,T+70d ,T+74d ,40,1w,48,1w 1d,0%,,,,,,,,,24.2,,,,
25.1,"Syslog, SNMP, Sflow monitoring",T+70d ,T+70d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
25.2,System Monitoring,T+70d ,T+71d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
25.3,Grafana dashboards.,T+72d ,T+73d ,16,2d,16,2d,0%,,,,,,,,,25.2,,0,,
25.4,Alerting/escalation,T+74d ,T+74d ,8,1d,8,1d,0%,,,,,,,,,25.3,,0,,
26,Failure Testing,T+75d ,T+84d ,80,2w,80,2w,0%,,,,,,,,,25,,,,
26.1,"Fail a server (remove a drive, remove the network) - confirm alerts come in, confirm tickets are filed, and impact",T+75d ,T+75d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
26.2,"Fail a network device. Confirm alerts come in, tickets filed, etc.",T+76d ,T+76d ,8,1d,8,1d,0%,,,,,,,,,26.1,,0,,
26.3,"Fail a rack of equipment. Confirm alerts, tickets etc.",T+77d ,T+77d ,8,1d,8,1d,0%,,,,,,,,,26.2,,0,,
26.4,"Fail and restore the DC,  confirm things come back up as expected.  Document, and resolve issues.",T+78d ,T+78d ,8,1d,8,1d,0%,,,,,,,,,26.3,,0,,
26.5,Test rolling back a deployment,T+79d ,T+79d ,8,1d,8,1d,0%,,,,,,,,,26.4,,0,,
26.6,"Benchmark the site, and see what your limitations are.",T+80d ,T+84d ,40,1w,40,1w,0%,,,,,,,,,26.5,,0,,
27,Cutover,T+85d ,T+85d ,8,1d,8,1d,0%,,,,,,,,,26,,,,
27.1,Data migration to site,T+85d ,T+85d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
27.2,GO LIVE,T+85d ,T+85d ,,,,,0%,,,,,,,,,27.1,,,,
28,Post install,T+86d ,T+105d ,160,1mo,320,2mo,0%,,,,,,,,,27.2,,,,
28.1,Archive of old site,T+86d ,T+105d ,160,1mo,160,1mo,0%,,,,,,,,,,,0,,
28.2,Removal of old site,T+86d ,T+105d ,160,1mo,160,1mo,0%,,,,,,,,,,,0,,
29,Every quarter moving forward:,T+85d ,T+85d ,0,0s,0,0s,0%,,,,,,,,,27,,,,
29.1,Review ongoing capacity plan.,T+85d ,T+85d ,,,,,0%,,,,,,,,,,,,,
29.2,Send forecast to integrator / vendors,T+85d ,T+85d ,,,,,0%,,,,,,,,,,,,,
29.3,Order additional power as needed,T+85d ,T+85d ,,,,,0%,,,,,,,,,,,,,
29.4,Order additional space as needed etc.,T+85d ,T+85d ,,,,,0%,,,,,,,,,,,,,
29.5,Review a DR Plan.,T+85d ,T+85d ,,,,,0%,,,,,,,,,,,,,
